Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
"Nulo MedalSeries Grain FreeSenior Cat Turkey, Alaska Pollock & Red Lentils",1.22,42.31,0.35,15.66,28.61,3454,26-Nov-19,49.17785861,KITTENS
Nulo MedalSeries Grain Free Cat & Kitten Cod & Duck,1.22,43.1,0.36,17.84,27.22,3685,26-Nov-19,45.62338081,KITTENS
Open Farm Homestead Turkey & Chicken,1.22,44.57,0.37,21.74,21.74,3840,17-Jan-20,40.83588059,KITTENS
Country Vet Choice 30/11 Kitten & Adult,1.23,33.34,0.27,12.23,37.03,3280,17-Jan-20,62.70046073,KITTENS
Nulo MedalSeries Grain Free Adult Chicken & Peas,1.23,43.51,0.37,21.89,22.71,3868,26-Nov-19,41.25640635,KITTENS
Horizon Complete All Life Stages,1.24,33.52,0.46,18.05,31.36,3680,25-Nov-19,51.99360038,KITTENS
Health Extension Chicken & Brown Rice,1.24,38,0.26,20,31,3719,07-Dec-16,46.31578947,KITTENS
Dr Tim's Chase,1.24,38,0.74,22,20,4140,29-Oct-19,44.49760766,KITTENS
Health Extension Grain Free Turkey & Salmon Recipe,1.24,39,0.23,20,33,3744,07-Dec-16,45.64102564,KITTENS
Merrick Limited Ingredient Grain Free Turkey,1.24,39.2,0.78,15.6,34.62,3588,18-Nov-16,51.15122972,KITTENS
Fromm Surf & Turf,1.24,41.99,0.48,21.79,23.8,3696,31-Jan-20,42.17223861,KITTENS
DAD'S Original*,1.25,36.24,0.41,11.51,47.76,3370,25-Nov-19,62.34620821,KITTENS
Dave’s Naturally Healthy Adult*,1.25,41.81,0.32,20.8,na,3777,30-Dec-19,43.14849226,KITTENS
Nulo Freestyle Grain Free Cat and Kitten Chicken & Cod,1.25,44.23,0.33,22.25,21.44,3868,26-Nov-19,40.58661694,KITTENS
Nulo Freestyle Grain Free Adult Trim Salmon & Lentils,1.25,45.86,0.37,13.76,23.89,3538,26-Nov-19,50.87526243,KITTENS
Chicken Soup for the Soul Classic Weight & Mature Care Chicken & Brown Rice,1.26,37.81,0.49,9.38,37.15,3113,28-Oct-19,69.09195286,KITTENS
Fromm Chicken au Frommage,1.27,38.1,0.52,21.02,na,3752,31-Jan-20,45.27621488,KITTENS
Wellness Natural Hairball Control Chicken Meal & Rice,1.27,41.63,0.28,18.29,27.72,3614,01-Feb-20,45.89101285,KITTENS
Wellness Complete Health Grain Free Indoor Chicken & Chicken Meal,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,52.61694422,KITTENS
Wellness Complete Health Grain Free Indoor Healthy Weight Chicken & Turkey,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,52.61694422,KITTENS
Farmina Natural and Delicious Low Ancestral Grain Lamb & Blueberry,1.28,38.3,0.64,21.28,29.79,4240,11-Dec-16,44.90665306,KITTENS
Open Farm Catch-of-the-Season Whitefish,1.28,44.57,0.37,21.74,21.74,3840,17-Jan-20,40.83588059,KITTENS
Nulo MedalSeries Grain Free Adult Weight Management Salmon & Sweet Potato,1.29,43.51,0.41,14.05,28.79,3446,26-Nov-19,51.45297314,KITTENS
Wysong Anergen,1.3,30.3,0.2,13.5,37.2,3301,16-Oct-19,62.63292996,KITTENS
Canidae Grain Free PURE Stream With Real Trout,1.3,34.78,0.33,17.39,35,3670,07-Dec-16,51.75388154,KITTENS
Canidae Grain Free PURE Sea With Real Salmon,1.3,34.78,0.33,18.48,34,3750,07-Dec-16,50.39717806,KITTENS
PureVita Grain Free Duck & Red Lentils Entrée,1.3,35,0.4,14.5,na,3880,28-Jan-20,56.15763547,KITTENS
Evanger's Grain Free Catch of the Day,1.3,35.6,0.2,18.6,29.5,3758,16-Sep-16,49.59526398,KITTENS
Wysong Geriatrx,1.3,36.9,0.4,16.3,27.3,3528,16-Oct-19,51.6401483,KITTENS
Canidae Grain Free PURE Elements With Real Chicken,1.3,38.04,0.33,19.57,29,3750,07-Dec-16,46.72756591,KITTENS
FirstMate indoor Formula,1.3,39,0.8,13,33,3295,25-Nov-19,56.41025641,KITTENS
Canidae Grain Free PURE Ocean Indoor Cat Formula With Fresh Tuna,1.3,39.13,0.33,13.04,33,3400,07-Dec-16,56.23068614,KITTENS
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Cod,1.3,39.19,0.37,17.57,31.1,3657,26-Nov-19,48.28279199,KITTENS
Instinct Limited Ingredient Diet Salmon,1.3,41,0.88,18.7,28.57,4400,08-Nov-19,45.78061823,KITTENS
Open Farm Wild Caught Salmon,1.3,44.57,0.37,21.74,21.74,3840,17-Jan-20,40.83588059,KITTENS
FirstMate Grain Free Pacific Ocean Fish Meal With Blueberries,1.3,47,1.7,20,22,3700,25-Nov-19,41.27659574,KITTENS
GO! Sensitivity + Shine Grain Free Freshwater Trout & Salmon,1.3,50,0.65,21,20,4444,31-Oct-19,39.04761905,KITTENS
Country Vet Premium 30/15 Kitten & Adult,1.31,33.34,0.26,16.67,33.52,3570,17-Jan-20,53.98920216,KITTENS
Rancher's Choice 31.5/11 Cat & Kitten,1.31,35,0.29,12.23,36.93,3325,17-Jan-20,61.2778881,KITTENS
Taste of the Wild Rocky Mountain with Roasted Venison & Smoked Salmon,1.31,47,0.44,19.7,21.5,3745,23-Sep-19,41.58116427,KITTENS
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Chicken & Salmon,1.31,60.62,0.45,30.1,0.78,4437,26-Nov-19,29.78524242,KITTENS
Azmira Classic Cat Formula*,1.32,33.08,0.33,11.38,na,3425,16-Jan-20,65.37913096,KITTENS
Lotus Grain Free Oven-Baked Duck Recipe Adult,1.32,38.6,0.59,17.22,31.69,3531,28-Jan-20,49.13553947,KITTENS
Catered Bowl Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,51.17822529,KITTENS
Tender & True Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,51.17822529,KITTENS
Catered Bowl Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,52.22522252,KITTENS
Tender & True Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,52.22522252,KITTENS
Country Vet Naturals 34/15 Grain Free,1.33,37.78,0.29,16.67,30.47,3588,17-Jan-20,50.46423219,KITTENS
Nature's Logic Turkey,1.33,41.5,0.32,15.6,27.5,3957,15-Nov-20,49.73741118,KITTENS
Open Farm Pasture Raised Lamb,1.33,44.57,0.37,21.74,21.74,3840,17-Jan-20,40.83588059,KITTENS
Nulo Freestyle Adult Hairball Management Turkey & Cod,1.33,44.98,0.4,17.57,21.75,3534,26-Nov-19,44.9981817,KITTENS
"RAWZ Meal Free Dehydrated Chicken, Turkey & Chicken",1.33,48.12,0.36,14.48,25.69,3710,03-Dec-19,48.40568928,KITTENS
AvoDerm Grain Free Salmon with Tuna Meal,1.34,37.8,0.53,19.6,35,3595,24-Jul-19,46.86318972,KITTENS
DAD'S Gourmet Blend Natural*,1.35,37.33,0.74,11.49,47.93,3380,25-Nov-19,61.60098685,KITTENS
Canidae All Life Stages With Chicken Meal & Rice,1.36,34.78,0.33,21.74,34,4400,23-Jul-19,47.15142044,KITTENS
"Canidae All Life Stages With Chicken, Turkey, Lamb & Fish Meals",1.36,34.78,0.33,21.74,34,4585,23-Jul-19,47.15142044,KITTENS
"Holistic Select Grain Free Indoor Health/Weight Control (Turkey, Chicken & Herring Meal)",1.37,36.8,0.33,14.84,35.03,3547,01-Feb-20,54.12809094,KITTENS
Holistic Select Grain Free Adult & Kitten Health Chicken Meal,1.37,38.8,0.41,20.98,28.63,3851,01-Feb-20,44.83897281,KITTENS
Petkind Green Tripe & High Seas*,1.38,37.78,1.01,17.78,25.5,3705,17-Jan-20,48.96621908,KITTENS
Nature's Logic Rabbit,1.38,41.6,0.36,16,23.9,4041,15-Nov-20,49.03846154,KITTENS
Farmina Natural and Delicious Grain Free Lamb & Blueberry,1.38,44.68,0.64,21.28,22.66,4417,11-Dec-16,41.17837117,KITTENS
Farmina Natural and Delicious Grain Free Boar & Apple,1.38,46.81,0.64,21.28,20.74,4396,11-Dec-16,40.15994911,KITTENS
Farmina Natural and Delicious Grain Free Kitten Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4344,11-Dec-16,40.15994911,KITTENS
Farmina Natural and Delicious Grain Free Adult Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4448,11-Dec-16,40.15994911,KITTENS
Farmina Natural and Delicious Grain Free Fish & Orange,1.38,46.81,0.85,21.28,20.96,4456,11-Dec-16,40.15994911,KITTENS
Farmina Natural and Delicious Grain Free Chicken & Pomegranate Neutered,1.38,48.94,0.64,11.7,24.47,3904,11-Dec-16,54.62121768,KITTENS
Performatrin Ultra Original Grain-Free Kitten Recipe,1.39,44.6,0.37,20.2,20.2,3915,16-Jan-20,42.22350486,KITTENS
Performatrin Ultra Grain-Free Recipe,1.39,44.6,0.37,20.2,20.2,3915,28-Nov-19,42.22350486,KITTENS
Summit,1.4,31,0.37,18,40,3499,31-Oct-19,54.48028674,KITTENS
Diamond Care Weight Management,1.4,35.8,0.51,10.3,34.5,3080,12-Nov-19,66.76791235,KITTENS
NutriSource Grain Free Ocean Select Entrée,1.4,36.7,1.5,16,na,4004,28-Jan-20,52.2479564,KITTENS
Wysong Vitality,1.4,38.7,0.4,17.2,23.8,3552,16-Oct-19,49.09560724,KITTENS
Acana Appalachian Ranch,1.4,39,0.39,22,24,3980,29-Oct-19,43.82284382,KITTENS
Acana Grasslands,1.4,39,0.44,22,24,3980,29-Oct-19,43.82284382,KITTENS
Wysong Nurture,1.4,40.4,0.4,15.9,23.3,3584,16-Oct-19,49.90970795,KITTENS
Wysong Fundamentals,1.4,42.1,0.4,15.8,24.6,3480,16-Oct-19,49.06942482,KITTENS
Wysong Nurture with Quail,1.4,43.7,0.4,17.1,22.3,3608,16-Oct-19,46.27510806,KITTENS
Orijen Six Fish,1.4,44,0.78,22,20,4060,23-Sep-19,40.90909091,KITTENS
Wellness Complete Health Grain Free Senior Chicken & Chicken Meal,1.4,46.66,0.43,14.75,26.12,3392,01-Feb-20,48.55027716,KITTENS
Instinct Ultimate Protein Chicken,1.4,52,0.67,18.89,13.33,4470,08-Nov-19,40.40599422,KITTENS
Wellness RawRev indoor with 100% Raw Freeze-Dried Turkey Liver,1.41,42.55,0.29,15.49,31.47,3627,01-Feb-20,49.32487432,KITTENS
Wellness CORE Indoor Cat Chicken & Turkey,1.41,43.26,0.29,14.95,29.35,3561,01-Feb-20,49.87189538,KITTENS
Taste of the Wild Prey Limited Ingredient Angus Beef,1.42,33.6,0.42,14.2,41.3,3650,18-Oct-19,57.93091885,KITTENS
Wellness Complete Health Grain Free Salmon & Salmon Meal,1.42,42.17,0.61,17.42,26.18,3672,01-Feb-20,46.67565295,KITTENS
"Rachael Ray Nutrish PEAK Rustic Woodlands Indoor with Chicken, Turkey, & Duck*",1.42,43.96,0.58,15.38,na,3551,06-Jan-20,48.75575502,KITTENS
Wellness CORE Grain-Free Indoor Salmon & Herring,1.43,43.04,0.41,11.32,30.39,3277,01-Feb-20,58.56988979,KITTENS
ZiwiPeak New Zealand Air-Dried Venison,1.43,54,0.77,32,7,4700,01-Feb-20,31.01851852,KITTENS
Fussie Cat Quail & Duck Meal*,1.44,36.67,na,16.67,na,3598,17-Jan-20,51.26544912,KITTENS
Whole Earth Farms Grain Free Real Turkey & Duck,1.45,39.87,0.7,16.8,30.27,3515,25-Oct-19,48.89103873,KITTENS
Nulo Freestyle Grain Free Cat and Kitten Turkey & Duck,1.45,43.78,0.45,19.73,23.36,3696,26-Nov-19,43.11517501,KITTENS
Merrick Limited Ingredient Grain Free Chicken,1.46,41.02,0.64,16.16,29.65,3588,18-Nov-16,49.13082727,KITTENS
Whole Earth Farms Grain Free Real Chicken,1.46,41.02,0.83,16.16,29.65,3459,25-Oct-19,49.13082727,KITTENS
I and Love and You Nude Food Surf n' Chick,1.46,49.95,na,23.33,na,3817,08-Nov-19,37.16532649,KITTENS
Holistic Select Grain Free Adult Anchovy & Sardine and Salmon Meal,1.47,38.12,0.46,21.68,28.04,3921,01-Feb-20,44.68313309,KITTENS
I and Love and You Nude Food Poultry & Plenty,1.47,49.9,na,21.85,na,3732,08-Nov-19,38.34671632,KITTENS
"Chicken Soup for the Soul Classic Kitten Chicken, Brown Rice & Pea",1.48,40.06,0.37,22.42,24.72,3797,28-Oct-19,42.80376937,KITTENS
Artemis OSOPure Grain Free Salmon and Garbanzo Bean,1.5,40.4,0.39,21.9,25.6,3861,09-Dec-16,43.01731543,KITTENS
Instinct Raw Boost Indoor Health Chicken,1.5,41,0.66,14.29,26.37,3861,08-Nov-19,52.38184642,KITTENS
Instinct Raw Boost Healthy Weight Chicken,1.5,41,0.77,13.19,25.27,3709,08-Nov-19,54.71624845,KITTENS
I and Love and You Naked Essentials Salmon & Trout,1.5,42.87,0.5,17.37,na,3421,08-Nov-19,46.35454499,KITTENS
Merrick Purrfect Bistro Grain Free Healthy Kitten Recipe Kitten,1.5,43.63,0.38,20.06,22.52,3755,26-Jun-19,42.86018863,KITTENS
Orijen Regional Red,1.5,44,0.56,22,19,4060,23-Sep-19,40.90909091,KITTENS
Earthborn Holistic Grain Free Primitive Feline,1.5,47.8,0.3,21.7,20.1,3925,15-Jan-20,39.35368182,KITTENS
ZiwiPeak New Zealand Free Range Chicken,1.5,48,0.68,39,1,5500,01-Feb-20,31.08974359,KITTENS
"GO! Solutions 84% Carnivore Grain Free Chicken, Turkey & Duck",1.5,51,0.49,21,17,4298,31-Oct-19,38.65546218,KITTENS
Wellness Complete Health Grain Free Indoor Salmon & Herring,1.52,38.21,0.53,12.55,31.77,3432,01-Feb-20,58.04366934,KITTENS
Nutrisca Grain Free Salmon Recipe*,1.52,40.3,0.93,15.7,30.2,3560,21-Jan-20,50.29160279,KITTENS
Feline Natural Lamb & King Salmon Feast Freeze Dried*,1.52,47.83,na,40.22,na,5197,01-Feb-20,30.85268115,KITTENS
Only Natural Pet Feline Powerfood Kitten Power Dinner*,1.53,50.89,0.52,23.44,na,3750,29-Jan-20,36.71507239,KITTENS
"Rachael Ray Nutrish PEAK Woodland Catch With Chicken, Trout & Salmon*",1.54,43.96,0.88,19.78,na,3756,06-Jan-20,42.9703996,KITTENS
Merrick Purrfect Bistro Grain Free Healthy Weight Recipe Adult,1.54,46.6,0.55,15.5,28.64,3215,26-Jun-19,47.26567908,KITTENS
ZiwiPeak New Zealand Air-Dried Lamb,1.56,43,0.77,41,3,5600,01-Feb-20,33.01191151,KITTENS
Orijen Tundra,1.56,44,0.44,22,20,4120,23-Sep-19,40.90909091,KITTENS
Diamond Naturals Chicken & Rice Indoor Formula,1.6,36.4,0.58,15.8,30.9,3350,12-Nov-19,52.78898317,KITTENS
Diamond Naturals Chicken & Rice Formula Kitten,1.6,38.9,0.47,24.6,24.5,4052,12-Nov-19,41.96710348,KITTENS
Earthborn Holistic Grain Free Wild Sea Catch,1.6,47.8,0.4,21.7,19,3895,15-Jan-20,39.35368182,KITTENS
I and Love and You Naked Essentials Chicken & Duck,1.63,42.21,0.54,17.33,na,3502,08-Nov-19,46.77243027,KITTENS
Merrick Purrfect Bistro Grain Free Healthy Senior Recipe Senior,1.63,44.44,0.62,16.56,29.13,3431,26-Jun-19,46.6568396,KITTENS
Feline Natural Chicken & LambFeast Freeze Dried*,1.63,52.17,na,33.7,na,4857,01-Feb-20,31.03754048,KITTENS
I and Love and You Lovingly Simple Salmon & Sweet Potato,1.65,42.13,0.87,15.7,na,3538,08-Nov-19,49.21376207,KITTENS
"Wellness CORE Grain-Free Adult Turkey, Turkey Meal & Duck",1.66,44.29,0.28,20.74,21.14,3902,01-Feb-20,41.86486323,KITTENS
Fussie Cat Guinea Fowl & Turkey Meal*,1.67,38.89,na,16.67,na,3598,17-Jan-20,49.708752,KITTENS
ZiwiPeak New Zealand Air-Dried Mackerel & Lamb,1.67,51,0.77,33,4,4800,01-Feb-20,31.72905526,KITTENS
Merrick Purrfect Bistro Grain Free Real Salmon & Sweet Potato,1.68,46.81,0.57,18.38,26.43,3748,26-Jun-19,43.12574227,KITTENS
Wellness CORE Grain Free Original Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,38.24974771,KITTENS
Wellness CORE Grain Free Kitten Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,38.24974771,KITTENS
Wellness RawRev Original with 100% Raw Freeze-Dried Turkey Liver,1.68,52.66,0.51,21.36,12.76,3871,01-Feb-20,37.7163373,KITTENS
Orijen Fit & Trim,1.7,48.9,0.42,16.7,17.8,3710,23-Sep-19,44.40199356,KITTENS
Natural Balance Original Ultra Whole Body Health Chicken & Salmon,1.71,38.84,0.59,18.61,31.13,na,07-Oct-19,47.24047346,KITTENS
Wellness Complete Health Salmon & Salmon Meal,1.72,42.07,0.61,19.84,26.03,3873,01-Feb-20,43.93119762,KITTENS
"Nulo Freestyle Grain Free Senior Cat Grain Free Alaska Pollock, Duck & Sweet Potato",1.73,42.75,0.35,15.41,27.48,3454,26-Nov-19,49.34898353,KITTENS
Only Natural Pet Feline Powerfood High Protein Grain Free Rabbit*,1.76,42.22,0.54,22.22,na,3650,29-Jan-20,41.68725731,KITTENS
Victor Mers Classic,1.78,35.34,0.35,18.29,38.39,3596,23-Nov-19,50.16642207,KITTENS
Merrick Purrfect Bistro Grain Free Real Chicken & Sweet Potato,1.8,47.51,0.54,17.39,25.66,3731,26-Jun-19,44.04992551,KITTENS
Taste of the Wild Lowland Creek with Roasted Quail and Roasted Duck,1.86,40.3,0.55,17.5,29.1,3558,18-Oct-19,47.67103864,KITTENS
Nature's Logic Sardine,1.88,42.2,0.6,15.5,25.8,3504,15-Nov-20,49.50313408,KITTENS
ZiwiPeak New Zealand Air-Dried Beef,1.88,47.8,0.86,38,2.2,5500,01-Feb-20,31.44681788,KITTENS
Horizon Legacy Cat & Kitten Grain Free,1.89,42.51,0.4,19.38,20.44,3870,25-Nov-19,44.16371162,KITTENS
Instinct Raw Boost Indoor Health Rabbit,1.9,43,0.55,15.93,26.37,3913,08-Nov-19,48.36566957,KITTENS
Only Natural Pet Feline Powerfood High Protein Grain Free Poultry*,1.92,52.22,0.43,20,18.89,3630,29-Jan-20,39.14975105,KITTENS
Whole Earth Farms Grain Free Healthy Kitten,1.95,42.5,1.3,17.2,28.03,3500,25-Oct-19,46.78522572,KITTENS
Instinct Raw Boost Grain Free Real Salmon,2,46,0.88,20.3,17.58,4488,08-Nov-19,41.44356393,KITTENS
Diamond Naturals Chicken & Rice Active Cat,2,46.4,0.66,22.4,17.2,4000,12-Nov-19,39.408867,KITTENS
Instinct Original Grain Free Salmon Meal,2,47,0.66,19.78,17.58,4470,08-Nov-19,41.49904266,KITTENS
Only Natural Pet Feline Powerfood High Protein Grain Free Fish & Fowl,2,50,0.44,21.11,17.78,3665,29-Jan-20,38.9483657,KITTENS
Feline Natural Beef & Hoki Feast Freeze Dried*,2.17,51.09,na,34.78,na,4762,01-Feb-20,31.07416458,KITTENS
Instinct Limited Ingredient Diet Turkey,2.2,39,0.55,18.13,26.37,4070,08-Nov-19,47.70390485,KITTENS
Instinct Raw Boost Duck,2.2,44,0.77,25.82,12.09,4387,08-Nov-19,38.2191395,KITTENS
Instinct Original Grain Free Duck,2.2,44,0.77,25.82,13.19,4397,08-Nov-19,38.2191395,KITTENS
Instinct Kitten Chicken,2.2,47,0.66,24.73,13.19,4456,08-Nov-19,37.45128236,KITTENS
Instinct Original Grain Free Rabbit Meal,2.3,45,0.66,24.73,13.19,4346,08-Nov-19,38.39690884,KITTENS
Instinct Original Grain Free Chicken Meal,2.6,45,0.66,23.08,15.38,4300,08-Nov-19,39.55324475,KITTENS
Instinct Raw Boost Grain Free Real Chicken,2.6,45,0.66,24.18,14.29,4327,08-Nov-19,38.76481941,KITTENS
NOW FRESH Grain Free Senior/Weight Management Recipe,0.5,34,0.31,15,39,3571,31-Oct-19,73.43137255,ADULT
Young Again ZERO Mature TruCarnivore 54/24,0.5,57.9,0.31,28.8,0,4510,01-Feb-20,40.68616868,ADULT
Young Again LID (Limited Ingredient) ZERO Mature TruCarnivore 54/25,0.52,59.5,0.38,27.4,0,4446,01-Feb-20,41.08139606,ADULT
NOW FRESH Grain Free Fish Recipe,0.6,34,0.33,22,35,3988,31-Oct-19,61.76470588,ADULT
Hill's Science Diet Adult Urinary Hairball Control,0.62,34.2,0.35,18.8,32.2,3681,01-Feb-20,65.80502675,ADULT
Young Again Mature Health CalPhosMag 54/22,0.65,57.6,0.31,28.6,6,4657,01-Feb-20,40.93215812,ADULT
Hill's Science Diet Adult Oral Care,0.66,33.5,0.39,21.1,30.6,3762,01-Feb-20,63.37978355,ADULT
Hill's Science Diet Adult 7+ Youthful Vitality Chicken & Rice Recipe,0.67,35.4,0.39,16.5,41,3870,01-Feb-20,68.6440678,ADULT
Hill's Science Diet Adult 7+ Chicken,0.68,32.1,0.35,21.3,38.7,4006,01-Feb-20,64.76240621,ADULT
Hill's Science Diet Adult 11+ Indoor,0.68,34.7,0.33,20.9,29.9,3790,01-Feb-20,62.33884423,ADULT
NOW Fresh Grain Free Adult,0.68,35.73,0.35,21.59,34,3862,31-Oct-19,60.4593636,ADULT
Hill's Science Diet Adult 11+ Chicken,0.69,32.7,0.33,22.5,37,4089,01-Feb-20,62.67074414,ADULT
Performatrin Ultra Grain-Free Senior Recipe,0.69,33,0.28,17,30.8,4021,21-Jan-20,70.23172906,ADULT
Hill's Healthy Advantage Adult Oral+ Feline Nutrition,0.69,33.4,0.41,22.3,30.1,4120,01-Feb-20,62.08882683,ADULT
Hill's Science Diet Adult 7+ Indoor,0.69,34.1,0.35,17,33.8,3593,01-Feb-20,69.00983267,ADULT
Hill's Healthy Advantage Adult,0.69,34.2,0.48,22.7,35.7,4117,01-Feb-20,60.77878249,ADULT
Hill's Science Diet Adult 7+ Hairball Control,0.7,33.9,0.35,19.1,31.4,3674,01-Feb-20,65.66896786,ADULT
Hill's Science Diet Adult Chicken,0.7,35,0.45,21.4,35.2,4021,01-Feb-20,61.41522029,ADULT
Hill's Science Diet Adult Multiple Benefit,0.72,34.6,0.41,13,37,3325,01-Feb-20,78.43485994,ADULT
Hill's Science Diet Adult Indoor,0.76,36.1,0.55,16.1,31.7,3515,01-Feb-20,68.78752946,ADULT
Hill's Science Diet Adult Perfect Weight,0.76,40.2,0.35,12,33.2,3409,01-Feb-20,76.9278607,ADULT
Diamond Maintenance,0.77,34.3,0.36,16.7,42,3742,12-Nov-19,69.37728042,ADULT
Hill's Science Diet Adult Light,0.78,38,0.53,9.1,39.5,3179,01-Feb-20,93.33429728,ADULT
Hill's Science Diet Adult Hairball Control,0.79,33.9,0.45,19.3,31,3673,01-Feb-20,65.37056567,ADULT
Hill's Science Diet Adult Sensitive Stomach & Skin,0.79,35,0.45,22,36.3,4104,01-Feb-20,60.71428571,ADULT
Hill's Science Diet Adult Hairball Control Light,0.79,40,0.44,9.6,35.1,3172,01-Feb-20,88.54166667,ADULT
Wysong Vegan (I do not recommend vegan food for cats),0.8,29.5,0.2,11.4,40.8,3312,16-Oct-19,90.61849539,ADULT
"Adore Loyal Novel Protein Trout, Barley, Oatmeal and Egg",0.8,32,0.3,19,38,3848,24 Oct 20,68.00986842,ADULT
Red Flannel Cat Formula,0.8,33.3,0.35,15.3,33.65,3776,12-Nov-19,73.48524996,ADULT
Hill's Science Diet Adult Sensitive Stomach & Skin Grain Free,0.8,35,0.45,21.9,35.2,4068,01-Feb-20,60.82844097,ADULT
Organix Organic Chicken & Sweet Potato,0.8,36.9,0.23,15.4,39.9,3739,29-Oct-19,69.58962447,ADULT
Lotus Grain Free Oven-Baked Sardines & Herring,0.8,38,0.53,15.78,33.43,3457,28-Jan-20,67.74898272,ADULT
Natural Planet Organic Chicken & Pea All Life Stages,0.81,34.02,0.66,15.75,na,3980,28-Jan-20,71.66372722,ADULT
Regal Kitten Bites,0.81,37.28,0.3,23.44,na,3993,05-Jan-17,56.99420674,ADULT
Young Again ZERO Cat & Kitten Trucarnivore 54/26,0.81,57.6,0.25,28.6,0,4482,01-Feb-20,40.93215812,ADULT
Organix Grain Free Organic Chicken & Brown Rice,0.83,32.6,0.24,15.6,41.1,3726,29-Oct-19,73.59996854,ADULT
Trader Joe's Premium Chicken*,0.83,33.33,0.27,20,na,3832,28-Nov-16,65.00375038,ADULT
Blackwood Indoor Chicken Meal & Brown Rice*,0.83,33.33,0.29,13.33,43.93,3824,27-Nov-19,78.76406545,ADULT
Solid Gold Winged Tiger With Quail & Pumpkin*,0.83,33.33,0.3,11.11,41.11,3560,08-Nov-19,87.00870087,ADULT
Performatrin Ultra Limited Potato & Turkey Formula,0.84,36.3,0.37,19,30.1,3835,28-Nov-19,63.38263013,ADULT
Blackwood Adult Chicken Meal & Brown Rice*,0.86,33.33,0.28,18.89,37.46,3913,27-Nov-19,66.61968473,ADULT
Life's Abundance All Life Stages,0.86,35.48,0.46,22.58,31.2,4023,27-Nov-19,59.58895492,ADULT
Nulo MedalSeries Adult Hairball Management Chicken & Cod,0.86,43.78,0.42,17.57,23.26,3534,26-Nov-19,59.85520816,ADULT
Annamaet Original Chicken Meal & Brown Rice,0.87,33,0.36,15,31.5,4022,26-Nov-19,74.54545455,ADULT
Adirondack Kitten*,0.87,34.44,0.3,20,na,3643,09-Jan-17,63.79500581,ADULT
Blackwood Kitten Chicken Meal & Brown Rice*,0.87,36.67,0.3,23.33,29.2,4204,27-Nov-19,57.6626066,ADULT
"Blackwood Special Diet Grain Free Duck Meal, Salmon Meal & Field Pea*",0.87,42.22,0.3,20,29.18,3763,27-Nov-19,57.10682141,ADULT
Performatrin Ultra Limited Green Pea & Duck Formula,0.88,33.2,0.44,13.2,37.3,3630,28-Nov-19,79.31726908,ADULT
PetGuard LifeSpan Cat & Kitten,0.88,35.55,0.4,15.55,47.7,3485,18-Dec-19,70.53151894,ADULT
Performatrin Ultra Limited Sweet Potato & Chicken Formula,0.89,33.3,0.34,13.4,37.8,3630,28-Nov-19,78.58231366,ADULT
Blackwood Lean/Senior Chicken Meal & Brown Rice*,0.89,33.33,0.32,12.22,47.04,3594,27-Nov-19,82.51193368,ADULT
Grandma Mae's Country Naturals Grain Free Salmon*,0.89,34.44,0.24,21.11,na,3820,23-Nov-19,62.34900865,ADULT
Grandma Mae's Country Naturals Grain Free Chicken Meal & Brown Rice*,0.89,37.78,0.29,22.22,na,3900,23-Nov-19,57.83876429,ADULT
Fussie Cat Market Fresh Salmon*,0.89,38.89,0.22,16.67,29,3550,17-Jan-20,65.13534012,ADULT
Grandma Mae's Country Naturals Grain Free Chicken & Herring*,0.89,38.89,0.26,18.89,na,3700,23-Nov-19,61.25787316,ADULT
Acana Meadowland,0.89,39,0.33,22,27,4060,29-Oct-19,57.05128205,ADULT
Acana Wild Atlantic,0.89,39,0.66,22,25,4020,29-Oct-19,57.05128205,ADULT
Fussie Cat Market Fresh Salmon & Chicken*,0.89,40,0.36,17.78,27,3604,17-Jan-20,62.1836333,ADULT
Fussie Cat Market Fresh Chicken & Turkey*,0.89,40,0.39,17.78,27,3598,17-Jan-20,62.1836333,ADULT
NutriSource Senior/Weight Management,0.9,28.92,0.63,9.06,na,3250,28-Jan-20,103.929085,ADULT
Diamond Care Urinary Support Formula,0.9,32.9,0.49,16.3,43.9,3728,12-Nov-19,71.73625226,ADULT
Gather Free Acres Organic Free Run Chicken,0.9,33,0.49,18,37,3664,31-Oct-19,68.43434343,ADULT
Solid Gold Fit as a Fiddle With Alaskan Pollock*,0.9,33.33,na,11.11,na,3110,08-Nov-19,87.00870087,ADULT
